[2022-04-30 10:58:38.716] [restartedMain] INFO  c.l.bhtmusic.BhtmusicApplication : Starting BhtmusicApplication on DESKTOP-6HD59A4 with PID 12944 (C:\Users\passerby\Desktop\bhtmusic\music-server\target\classes started by passerby in C:\Users\passerby\Desktop\bhtmusic\music-server)
[2022-04-30 10:58:38.720] [restartedMain] INFO  c.l.bhtmusic.BhtmusicApplication : The following profiles are active: dev
[2022-04-30 10:58:38.795] [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[2022-04-30 10:58:38.795] [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[2022-04-30 10:58:39.659] [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
[2022-04-30 10:58:39.663] [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2022-04-30 10:58:39.721] [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 22ms. Found 0 Redis repository interfaces.
[2022-04-30 10:58:40.796] [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8888 (http)
[2022-04-30 10:58:40.808] [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8888"]
[2022-04-30 10:58:40.809] [restartedMain] INFO  o.a.catalina.core.StandardService : Starting service [Tomcat]
[2022-04-30 10:58:40.809] [restartedMain] INFO  o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.37]
[2022-04-30 10:58:40.908] [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
[2022-04-30 10:58:40.908] [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2112 ms
[2022-04-30 10:58:41.470] [restartedMain] INFO  c.l.bhtmusic.utils.BizIdGenerator : 初始化平台id
[2022-04-30 10:58:41.641] [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
[2022-04-30 10:58:41.977] [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer : LiveReload server is running on port 35729
[2022-04-30 10:58:41.998] [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8888"]
[2022-04-30 10:58:42.023] [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8888 (http) with context path ''
[2022-04-30 10:58:42.041] [restartedMain] INFO  c.l.bhtmusic.BhtmusicApplication : Started BhtmusicApplication in 3.931 seconds (JVM running for 5.109)
